\,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Conure,Sun conure,A26,Sun conure,GB3223,GB2926,5865,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A48(C38),Sun conure,CKRC325,CKRC331,5866,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B52,Nandaya conure,CKR374,CKRA169,5867,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Lory,H26,Sun conure,GD2692,GD3183,5868,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,E42,Swainson lory,,,5869,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,D41,Swainson lory,CKRD1481,CKRD1562,5870,13-01-2022,Infertile,,,,,,,,,,,
Lory,Lory,E34,Swainson lory,CKR221,CKR361,5871,13-01-2022,Infertile,,,,,,,,,,,
Lory,Lory,E33,Scaly breasted lory,CKRA127,CKR0110,5872,13-01-2022,Infertile,,,,,,,,,,,
Lory,Lory,E30,Red lory,ABW5145,ABW5158,5873,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,E29,Red collard lory,CKRC204,CKRC208,5874,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,D26,Olive swainson lory,CKRC257,No ring,5875,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,D25,Red lory,215,ABW5147,5876,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,E20,Swainson lory,CKRD1405,CKRD1572,5877,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,D17,Violet necked lory,CHIRP027,JP371,5878,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,E16,Green napped lory,CKRC322,ACEIND151,5879,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,D14,Green napped lory,SYY3032,No ring,5880,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,E13,Red lory,22835,TER22824,5881,13-01-2022,,,,,,,,,,,Early (B.Ring),20-01-2022
Lory,Lory,D9,Olive swainson lory,7DNG4300,CT0097,5882,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Lory,Lory,E45,Scaly breasted lory (Parent Broken ),TC6AQ238,AP8377,5883,13-01-2022,,,,,,,,,,,,
Conure,Sun conure,A6,Sun conure,CKRB130,GB3070,5884,14-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,A18,Sun conure,GB3174,GB3198,5885,14-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,B30,Sun conure,GB2702,GB2823,5886,14-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,A10,Sun conure,GB2872,CKRB115,5887,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A12,Sun conure,CKRD386,CKRD841,5888,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A12,Sun conure,CKRD386,CKRD841,5889,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B12,Sun & jandaya,GB2701,GB3332,5890,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B12,Sun & jandaya,GB2701,GB3332,5891,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A16(C5),Sun conure,GB3023,GB2855,5892,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B18(C4),Sun conure,GB2767,NAGU14,5893,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B20,Sun conure,GB2815,CKRB154,5894,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B24,Sun & jandaya,GB2636,GB3334,5895,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B26,Sun conure,GB2892,GB2932,5896,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B26,Sun conure,GB2892,GB2932,5897,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A26,Sun conure,GB3223,GB2926,5899,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B27,Sun conure,GB2730,CKRB184,5900,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B33,Jandaya conure,CKR53,CKRB136,5901,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B35,Sun conure,GB2827,CKRA352,5902,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B36,Sun conure,GB2939,GB2937,5903,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A36,Sun conure,CKRC251,CKRC256,5904,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A38,Jandaya conure,CKRA143,GB3339,5905,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A38,Jandaya conure,CKRA143,GB3339,5906,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A39,Sun conure,CKRD233,CKRD1064,5907,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A39,Sun conure,CKRD233,CKRD1064,5908,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A40(C22),Sun conure,VRS66,GB3189,5909,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B43,Crimson bellied conure,SIVA529,HAISHL066,5910,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A48(C38),Sun conure,CKRC325,CKRC331,5911,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A53,Sun conure,JF405,CKRC141,5912,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,B56,Sun conure,GB2689,GB2571,5913,17-01-2022,,,,,,,,,,,,
Lory,Lory,D8,Green napped lory,CKRD1430,CKRD1490,5914,17-01-2022,,,,,,,,,,,,
Lory,Lory,E13,Red lory,22835,TER22824,5915,17-01-2022,,,,,,,,,,,,
Lory,Lory,D14,Green napped lory,SYY3032,No ring,5916,17-01-2022,,,,,,,,,,,,
Lory,Lory,E16,Green napped lory,CKRC322,ACEIND151,5917,17-01-2022,,,,,,,,,,,,
Lory,Lory,D17,Violet necked lory,CHIRP027,JP371,5918,17-01-2022,,,,,,,,,,,,
Lory,Lory,E19,Block caped lory + chattering lory,Sunil692,JP514,5919,17-01-2022,,,,,,,,,,,,
Lory,Lory,E19,Block caped lory + chattering lory,Sunil692,JP514,5920,17-01-2022,,,,,,,,,,,,
Lory,Lory,D27,Red collard lory,CKRC283,CKRC202,5921,17-01-2022,,,,,,,,,,,,
Lory,Lory,D27,Red collard lory,CKRC283,CKRC202,5922,17-01-2022,,,,,,,,,,,,
Lory,Lory,E29,Red collard lory,CKRC204,CKRC208,5923,17-01-2022,,,,,,,,,,,,
Lory,Lory,D30,Swainson lory,CKRA480,CKRA417,5924,17-01-2022,,,,,,,,,,,,
Lory,Lory,E30,Red lory,ABW5145,ABW5158,5925,17-01-2022,,,,,,,,,,,,
Lory,Lory,E33,Scaly breasted lory,CKRA127,CKR0110,5926,17-01-2022,Poor egg shell quality egg removed ,,,,,,,,,,,
Lory,Lory,E34,Swainson lory,CKR221,CKR361,5927,17-01-2022,,,,,,,,,,,,
Lory,Lory,E34,Swainson lory,CKR221,CKR361,5928,17-01-2022,,,,,,,,,,,,
Lory,Lory,E35,Red collard lory,CKRD1478,CKRD1583,5929,17-01-2022,,,,,,,,,,,,
Lory,Lory,D36,Green napped lory,7NG2122,BH7318,5930,17-01-2022,,,,,,,,,,,,
Lory,Lory,D39,Olive swainson lory + swainson lory,,,5931,17-01-2022,,,,,,,,,,,,
Lory,Lory,E39,Red lory,YUV40,PABW324,5932,17-01-2022,,,,,,,,,,,,
Lory,Lory,E39,Red lory,YUV40,PABW324,5933,17-01-2022,,,,,,,,,,,,
Conure,Lory,H25,Sun & jandaya,Ckr21,Ckr057,5934,17-01-2022,,,,,,,,,,,,
Conure,Lory,H26,Sun conure,GD2692,GD3183,5935,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A25,Sun conure (Parent broken),GB2879,GB3175,5898,17-01-2022,,,,,,,,,,,,
Conure,Sun conure,A7,Sun conure (Parent broken),GB3204,GB2902,5936,17-01-2022,,,,,,,,,,,,
