Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
GB 2702,Conure,Sun Conure,Male,B30,Sun Conure  Aviary,Proven,
GB 2823,Conure,Sun Conure,Female,B30,Sun Conure  Aviary,Proven,
CKR 279,Conure,Sun Conure,Female,B31,Sun Conure  Aviary,Proven,
CKR A 442,Conure,Sun Conure,Male,B31,Sun Conure  Aviary,Proven,
GB 2874,Conure,Sun Conure,Male,B32,Sun Conure  Aviary,Proven,
GB 3126,Conure,Sun Conure,Female,B32,Sun Conure  Aviary,Proven,
CKR 53,Conure,Janday Conure,Male,B33,Sun Conure  Aviary,Proven,
CKR B 136,Conure,Janday Conure,Female,B33,Sun Conure  Aviary,Proven,
GD 2720,Conure,Sun conure,Female,B34,Garden,Proven,
GD 2883,Conure,Sun conure,Male,B34,Garden,Proven,
GB 2827,Conure,Sun Conure,Male,B35,Sun Conure  Aviary,Proven,
CKR A 352,Conure,Sun Conure,Female,B35,Sun Conure  Aviary,Proven,
GB 2937,Conure,Sun Conure,Female,B36,Sun Conure  Aviary,Proven,
GB 2939,Conure,Sun Conure,Male,B36,Sun Conure  Aviary,Proven,
CKR C 276,Conure,Sun Conure,Female,B37,Sun Conure  Aviary,Proven,
GB 2894,Conure,Sun Conure,Male,B37,Sun Conure  Aviary,Proven,
GB 3047,Conure,Sun Conure,Male,B38,Sun Conure  Aviary,Proven,
GB 3323,Conure,Janday Conure,Female,B38,Sun Conure  Aviary,Proven,
Ckr 153,Conure,Sun conure,Female,B39,Garden,Proven,
GB 2956,Conure,Sun conure,Male,B39,Garden,Proven,
GB 2893,Conure,Sun Conure,Male,B40,Sun Conure  Aviary,Proven,
GB 3080,Conure,Sun Conure,Female,B40,Sun Conure  Aviary,Proven,
GB 2914,Conure,Sun Conure,Male,B41,Sun Conure  Aviary,Proven,
GB 3068,Conure,Sun Conure,Female,B41,Sun Conure  Aviary,Proven,
CKR D 320,Conure,Sun Conure,Male,B42,Sun Conure  Aviary,Proven,
CKR D 1381,Conure,Sun Conure,Female,B42,Sun Conure  Aviary,Proven,
HAISHL 066,Conure,Crimson Bellied conure,Female,B43,Sun Conure  Aviary,Proven,
SIVA 529,Conure,Crimson Bellied conure,Male,B43,Sun Conure  Aviary,Proven,
CKR 373,Conure,Red Fronted Conure,Male,B44,Sun Conure  Aviary,Proven,
JJC 005,Conure,Red Fronted Conure,Female,B44,Sun Conure  Aviary,Proven,
GB 3196,Conure,Sun Conure,Male,B45,Sun Conure  Aviary,Proven,
GB 3208,Conure,Sun Conure,Female,B45,Sun Conure  Aviary,Proven,
CKR 078,Conure,Nanday Conure,Male,B46,Sun Conure  Aviary,Proven,
CKR B 047,Conure,Nanday Conure,Female,B46,Sun Conure  Aviary,Proven,
GB 2822,Conure,Sun Conure,Female,B47,Sun Conure  Aviary,Proven,
GB 2631,Conure,Sun Conure,Male,B47,Sun Conure  Aviary,Proven,
CKR A 167,Conure,Nanday Conure,Female,B48,Sun Conure  Aviary,Proven,
CKR B 139&133,Conure,Nanday Conure,Male,B48,Sun Conure  Aviary,Proven,
CKR B 232,Conure,Nansun Conure,Male,B49,Sun Conure  Aviary,Proven,
CKR B 237,Conure,Nansun Conure,Female,B49,Sun Conure  Aviary,Proven,
JK 01 2 (or) 7,Pionus,Bronze wing pionus,Female,B50,Sun Conure  Aviary,Proven,
LV 08 80 H 1,Pionus,Bronze wing pionus,Male,B50,Sun Conure  Aviary,Proven,
CKR B 046,Conure,Nanday Conure,Male,B51,Sun Conure  Aviary,Proven,
CKR B 193,Conure,Nanday Conure,Female,B51,Sun Conure  Aviary,Proven,
CKR 374,Conure,Nanday Conure,Male,B52,Sun Conure  Aviary,Proven,
CKR A 169,Conure,Nanday Conure,Female,B52,Sun Conure  Aviary,Proven,
GB 2736,Conure,Sun Conure,Male,B53,Sun Conure  Aviary,Proven,
GB 3050,Conure,Sun Conure,Female,B53,Sun Conure  Aviary,Proven,
CKR D 315,Conure,Sun Conure,Female,B54,Sun Conure  Aviary,Proven,
CKR D 1073,Conure,Sun Conure,Male,B54,Sun Conure  Aviary,Proven,
CKR C 252,Conure,Nansun Conure,Male,B55,Sun Conure  Aviary,Proven,
CKR C 338,Conure,Nansun Conure,Female,B55,Sun Conure  Aviary,Proven,
GB 2571,Conure,Sun Conure,Female,B56,Sun Conure  Aviary,Proven,
GB 2689,Conure,Sun Conure,Male,B56,Sun Conure  Aviary,Proven,
CKRE 1604,Conure,Sun Conure,Male,C01,Cockatoo Aviary,Semi Adult,
CKRE 1553,Conure,Sun Conure,Female,C01,Cockatoo Aviary,Semi Adult,
CKRE 1077,Conure,Sun Conure,Female,C01,Cockatoo Aviary,Semi Adult,
CKRD 1261,Conure,Sun Conure,Male,C01,Cockatoo Aviary,Semi Adult,
CKRE 1969,Conure,Sun Conure,Female,C01,Cockatoo Aviary,Semi Adult,
CKRD 1252,Conure,Sun Conure,Male,C01,Cockatoo Aviary,Semi Adult,
CKRE 1267,Conure,Sun Conure,Female,C01,Cockatoo Aviary,Semi Adult,
CKRE 1722,Conure,Sun Conure,Female,C01,Cockatoo Aviary,Semi Adult,
CKRE 1332,Conure,Sun Conure,Male,C01,Cockatoo Aviary,Semi Adult,
CKRE 1329,Conure,Sun Conure,Female,C01,Cockatoo Aviary,Semi Adult,
CKR E 2133,Conure,Sun @jandayconure,,C02,Macaw Aviary,Semi Adult,
CKR E 2107,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKR E 2104,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKR E 2072,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKR E 2085,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKR E 2086,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKR E 2109,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKR E 2080,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKR E 2089,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKR E 2087,Conure,Sun Conure,,C02,Macaw Aviary,Semi Adult,
CKRE 1972,Conure,Sun Conure,NA,C03,Cockatoo Aviary,Semi Adult,
CKRE 1326,Conure,Sun Conure,,C03,Cockatoo Aviary,Semi Adult,
CKRE 1611,Conure,Sun Conure,,C03,Cockatoo Aviary,Semi Adult,
CKRE 1612,Conure,Sun Conure,,C03,Cockatoo Aviary,Semi Adult,
CKRE 1334,Conure,Sun Conure,,C03,Cockatoo Aviary,Semi Adult,
CKRE 1966,Conure,Sun Conure,NA,C03,Cockatoo Aviary,Semi Adult,
CKRE 1957,Conure,Sun Conure,Male,C03,Cockatoo Aviary,Semi Adult,
CKRE 1258,Conure,Sun Conure,NA,C03,Cockatoo Aviary,Semi Adult,
CKRE 1609,Conure,Sun Conure,NA,C03,Cockatoo Aviary,Semi Adult,
CKRE 1134,Conure,Sun Conure,,C03,Cockatoo Aviary,Semi Adult,
CKRE 1586,Conure,Sun Conure,Female,C04,Cockatoo Aviary,Semi Adult,
CKRE 1581,Conure,Sun Conure,Male,C04,Cockatoo Aviary,Semi Adult,
CKRE 1551,Conure,Sun Conure,Male,C04,Cockatoo Aviary,Semi Adult,
CKRE 1301,Conure,Sun Conure,NA,C04,Cockatoo Aviary,Semi Adult,
CKRF 118,Conure,Sun Conure,Female,C04,Cockatoo Aviary,Semi Adult,
CKRE 1324,Conure,Sun Conure,,C04,Cockatoo Aviary,Semi Adult,
CKRE 1951,Conure,Sun Conure,NA,C04,Cockatoo Aviary,Semi Adult,
CKRE 1076,Conure,Sun Conure,Male,C04,Cockatoo Aviary,Semi Adult,
CKRF 200,Conure,Sun Conure,Male,C04,Cockatoo Aviary,Semi Adult,
CKRE 1273,Conure,Sun Conure,Male,C05,Cockatoo Aviary,Semi Adult,
CKRE 1314,Conure,Sun Conure,Male,C05,Cockatoo Aviary,Semi Adult,
CKRF 810,Conure,Sun Conure,Female,C05,Cockatoo Aviary,Semi Adult,
CKRF 105,Conure,Sun Conure,Female,C05,Cockatoo Aviary,Semi Adult,
CKRF 125,Conure,Sun Conure,Male,C05,Cockatoo Aviary,Semi Adult,
CKRF 1327,Conure,Sun Conure,Male,C05,Cockatoo Aviary,Semi Adult,
CKRF 111,Conure,Sun Conure,Male,C05,Cockatoo Aviary,Semi Adult,
No Ring,Conure,Sun Conure,,C05,Cockatoo Aviary,Semi Adult,
CKRF 194,Conure,Sun Conure,,C05,Cockatoo Aviary,Semi Adult,
CKRE 2036,Conure,Sun Conure,Male,C05,Cockatoo Aviary,Semi Adult,
CKRF 195,Conure,Sun Conure,Female,C06,Cockatoo Aviary,Semi Adult,
CKRF 158,Conure,Sun Conure,Male,C06,Cockatoo Aviary,Semi Adult,
CKRF 988,Conure,Sun Conure,Female,C06,Cockatoo Aviary,Semi Adult,
CKRF 904,Conure,Sun Conure,Male,C06,Cockatoo Aviary,Semi Adult,
CKRF 846,Conure,Sun Conure,Female,C06,Cockatoo Aviary,Semi Adult,
CKRF 835,Conure,Sun Conure,Female,C06,Cockatoo Aviary,Semi Adult,
CKRF 845,Conure,Sun Conure,Male,C06,Cockatoo Aviary,Semi Adult,
CKRF 814,Conure,Sun Conure,Male,C06,Cockatoo Aviary,Semi Adult,
CKRF 190,Conure,Sun Conure,Female,C06,Cockatoo Aviary,Semi Adult,
CKRF 874,Conure,Sun Conure,Female,C06,Cockatoo Aviary,Semi Adult,
CKRE 1599,Conure,Sun Conure,Male,C08,Cockatoo Aviary,Semi Adult,
CKRF 720,Conure,Sun Conure,Female,C08,Cockatoo Aviary,Semi Adult,
CKRF 913,Conure,Sun Conure,Male,C08,Cockatoo Aviary,Semi Adult,
CKRE 1281,Conure,Sun Conure,Male,C08,Cockatoo Aviary,Semi Adult,
CKRE 1643,Conure,Sun Conure,Female,C08,Cockatoo Aviary,Semi Adult,
CKRE 1302,Conure,Sun Conure,Male,C08,Cockatoo Aviary,Semi Adult,
CKRE 1988,Conure,Sun Conure,Female,C08,Cockatoo Aviary,Semi Adult,
CKRE 1068,Conure,Sun Conure,,C08,Cockatoo Aviary,Semi Adult,
CKRE 1482,Conure,Sun Conure,,C08,Cockatoo Aviary,Semi Adult,
CKR E 2058,Conure,Sun Conure,,C09,Macaw Aviary,Semi Adult,
CKR F 686,Conure,Sun Conure,,C09,Macaw Aviary,Semi Adult,
CKR E 2140,Conure,Sun Conure,,C09,Macaw Aviary,Semi Adult,
CKR E 2130,Conure,Sun Conure,,C09,Macaw Aviary,Semi Adult,
CKRE2147,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2143,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2071,Conure,Sun & Jandaya,nA,C10,Macaw Aviary,Semi Adult,
CKRE2126,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2149,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2076,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2144,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2079,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2073,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2065,Conure,Sun conure,nA,C10,Macaw Aviary,Semi Adult,
CKRE2106,Conure,Sun conure,nA,C11,Macaw Aviary,Semi Adult,
CKRE2074,Conure,Sun conure,nA,C11,Macaw Aviary,Semi Adult,
