Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Bird status
Macaw,Thendral,T05,Scarlet Macaw,OO38,Female,Proven,Hold
Macaw,Thendral,T06,Blue Gold Macaw,22,Male,Proven,Hold
Macaw,Thendral,T06,Blue Gold Macaw,CKR0083,Female,Proven,Hold
Macaw,Thendral,T07,Blue Gold Macaw,JP404,Female,Proven,Hold
Macaw,Thendral,T07,Blue Gold Macaw,JFS210,Male,Proven,Hold
Macaw,Thendral,T08,Blue Gold Macaw,CKR24,Female,Proven,Hold
Macaw,Thendral,T08,Blue Gold Macaw,CKR20,Male,Proven,Hold
Macaw,Thendral,T09,Blue Gold Macaw,,,Proven,Hold
Macaw,Thendral,T09,Blue Gold Macaw,,,Proven,Hold
Macaw,Thendral,T10,Blue Gold Macaw,JFS201,Male,Non proven,Hold
Macaw,Thendral,T10,Blue Gold Macaw,CKR23,Female,Non proven,Hold
Macaw,Thendral,T11,Blue Gold Macaw,JFS208,Male,Proven,Hold
Macaw,Thendral,T11,Blue Gold Macaw,JFS223,Female,Proven,Hold
Cockatoo,Vasantham,V01,Mollucan Cockatoo,,Male,Proven,Hold
Cockatoo,Vasantham,V01,Mollucan Cockatoo,PABW052,Female,Proven,Hold
Cockatoo,Vasantham,V02,Mollucan Cockatoo,PABW001,Male,Proven,Hold
Cockatoo,Vasantham,V02,Mollucan Cockatoo,PABW036,Female,Proven,Hold
Cockatoo,Vasantham,V03,Goffin Cockatoo,167,Male,Proven,Hold
Cockatoo,Vasantham,V03,Goffin Cockatoo,175,Female,Proven,Hold
Cockatoo,Vasantham,V04,Goffin Cockatoo,141,Male,Non proven,Hold
Cockatoo,Vasantham,V04,Goffin Cockatoo,157,Female,Non proven,Hold
Cockatoo,Vasantham,V05,Medium Sulphur Cockatoo,CKR0002,Female,Proven,Hold
Cockatoo,Vasantham,V05,Medium Sulphur Cockatoo,CKR03,Male,Proven,Hold
Cockatoo,Vasantham,V06,Triton Cockatoo,CKRA023,Female,Proven,Hold
Cockatoo,Vasantham,V06,Triton Cockatoo,CKRA044,Male,Proven,Hold
Cockatoo,Vasantham,V07,Triton Cockatoo,NoRing,Male,Non proven,Hold
Cockatoo,Vasantham,V07,Triton Cockatoo,CKRA042,Female,Non proven,Hold
Cockatoo,Vasantham,V08,Triton Cockatoo,CKRA025,Female,Proven,Hold
Cockatoo,Vasantham,V08,Triton Cockatoo,CKRA013,Male,Proven,Hold
Cockatoo,Vasantham,V09,Triton Cockatoo,CKR26/28,Male,Proven,Hold
Cockatoo,Vasantham,V09,Triton Cockatoo,CKRA019,Female,Proven,Hold
Cockatoo,Vasantham,V10,Umbrella Cockatoo,CKRC006,Male,Proven,Hold
Cockatoo,Vasantham,V10,Umbrella Cockatoo,NoRing,Female,Proven,Hold
Cockatoo,Vasantham,V11,Triton Cockatoo,CKRA020,Male,Adult,Sale
Cockatoo,Vasantham,V12,Umbrella Cockatoo,CKR10,Female,Proven,Hold
Cockatoo,Vasantham,V12,Umbrella Cockatoo,NoRing,Male,Proven,Hold
Cockatoo,Vasantham,V13,Umbrella Cockatoo,CKR13,Female,Proven,Hold
Cockatoo,Vasantham,V13,Umbrella Cockatoo,NoRing,Male,Proven,Hold
Cockatoo,Vasantham,V14,Triton Cockatoo,CKRA009,Male,Proven,Hold
Cockatoo,Vasantham,V14,Triton Cockatoo,CKRA022,Female,Proven,Hold
Cockatoo,Vasantham,V15,Mollucan Cockatoo,PABW053,Female,Proven,Hold
Cockatoo,Vasantham,V15,Mollucan Cockatoo,CKR0074,Male,Proven,Hold
Cockatoo,Vasantham,V16,Medium Sulphur Cockatoo,CKRA036,Female,Proven,Hold
Cockatoo,Vasantham,V16,Medium Sulphur Cockatoo,CKRA030,Male,Proven,Hold
Cockatoo,Vasantham,V17,Medium Sulphur Cockatoo,CKRA289,Female,Proven,Hold
Cockatoo,Vasantham,V17,Medium Sulphur Cockatoo,CKRC444,Male,Proven,Hold
Cockatoo,Vasantham,V18,Medium Sulphur Cockatoo,CKRA029,Female,Proven,Hold
Cockatoo,Vasantham,V18,Medium Sulphur Cockatoo,CKRA035,Male,Proven,Hold
Cockatoo,Vasantham,V19,Mollucan Cockatoo,PABW072,Male,Proven,Hold
Cockatoo,Vasantham,V19,Mollucan Cockatoo,PABW038,Female,Proven,Hold
Cockatoo,Vasantham,V20,Triton Cockatoo,CKRA045,Male,Non proven,Hold
Cockatoo,Vasantham,V20,Triton Cockatoo,CKRA012,Female,Non proven,Hold
Cockatoo,Vasantham,V21,Umbrella Cockatoo,CKR0003,Female,Proven,Hold
Cockatoo,Vasantham,V21,Umbrella Cockatoo,NoRing,Male,Proven,Hold
