Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6566,11-04-2022,Fertile,18-04-2022,,7.7,27-04-2022,6.1,29-04-2022,1.12,Normal,0.3,,,8.59
Conure,Sun Conure,B26,Sun Conure,GB2892,GB2932,6567,11-04-2022,Fertile,18-04-2022,,4.84,28-04-2022,3.47,29-04-2022,0.48,Assist,0.2,,,5.84
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6568,11-04-2022,Fertile,18-04-2022,,5,28-04-2022,4.01,30-04-2022,0.74,Assist,0.3,,,5.68
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6569,11-04-2022,DIS,18-04-2022,,,,,,,,,Mid,22-04-2022,5.99
Parrot,Sun Conure,A43,Caique,CKR30,CKRB196,6570,11-04-2022,Fertile,18-04-2022,,10.5,04-05-2022,8.16,06-05-2022,1.11,Normal,0.3,,,12.05
Conure,Sun Conure,A56,Sun Conure,GB2898,GB2933,6571,11-04-2022,Infertile,,,,,,,,,,,,7.3
Lory,Lory,E09,Black Capped Lory,SUNIL664,Sunil637,6572,11-04-2022,Fertile,18-04-2022,,,,5.58,02-05-2022,0.63,Assist,0.3,,,9.24
Lory,Lory,E09,Black Capped Lory,SUNIL664,Sunil637,6573,11-04-2022,Fertile,18-04-2022,,8.54,02-05-2022,6.8,04-05-2022,0.8,Normal,0.3,,,9.56
Lorikeet,Lory,D28,Scaly Breasted Lorikeet,GF0346,CKRA158,6574,11-04-2022,Fertile,18-04-2022,5,4.57,28-04-2022,3.72,29-04-2022,0.45,Normal,0.2,,,5.12
Lorikeet,Lory,D28,Scaly Breasted Lorikeet,GF0346,CKRA158,6575,11-04-2022,Infertile,,,,,,,,,,,,3.02
Lorikeet,Lory,D30,Swainson Lorikeet,CKRA480,CKRA417,6576,11-04-2022,DIS,16-04-2022,,,,,,,,,Early,18-04-2022,7
Lorikeet,Lory,D33,Swainson Lorikeet,SA256,CKRB050,6577,11-04-2022,Fertile,18-04-2022,,6.32,01-05-2022,5.17,03-05-2022,0.58,Normal,0.2,,,7.28
Lorikeet,Lory,E34,Swainson Lorikeet,CKR221,CKR361,6578,11-04-2022,Infertile,,,,,,,,,,,,7.78
Lorikeet,Lory,E34,Swainson Lorikeet,CKR221,CKR361,6579,11-04-2022,Infertile,,,,,,,,,,,,7.6
Lorikeet,Lory,E34,Swainson Lorikeet,CKR221,CKR361,6580,11-04-2022,Infertile,,,,,,,,,,,,7.06
Lorikeet,Lory,E37,Green Napped Lorikeet,YUV304,YUV398,6581,11-04-2022,Fertile,18-04-2022,,5.19,30-04-2022,3.88,01-05-2022,0.53,Normal,0.2,,,5.93
Lorikeet,Lory,D38,Red Collared Lorikeet,HL7810,CKR182/TE4550,6582,11-04-2022,Infertile,,,,,,,,,,,,6.8
Lorikeet,Lory,D38,Red Collared Lorikeet,HL7810,CKR182/TE4550,6583,11-04-2022,Fertile,18-04-2022,,6.56,01-05-2022,5.21,03-05-2022,0.8,Normal,0.2,,,6.19
Lorikeet,Lory,E42,Swainson Lorikeet,CKRA438,CKRA435,6584,11-04-2022,Infertile,,,,,,,,,,,,8
Lorikeet,Lory,E43,Red Collared Lorikeet,CKRC315,CKRC294,6585,11-04-2022,DIS,18-04-2022,,,,,,,,,Early,19-04-2022,7.21
Lorikeet,Lory,F33,Olive Swainson Lorikeet,CKRD1576,7L6697,6586,11-04-2022,Infertile,,,,,,,,,,,,5.75
Lorikeet,Lory,D46,Red Collared Lorikeet,MVF845,BB858/11-126,6587,11-04-2022,Infertile,,,,,,,,,,,,6
Lorikeet,Lory,D48,Red Collared Lorikeet,CKRC303,CKRC291,6588,11-04-2022,DIS,11-04-2022,,,,,,,,,Early,18-04-2022,6.38
Conure,Lory,A56,Sun Conure,GB2898,GB2933,6589,11-04-2022,Fertile,18-04-2022,,6,03-05-2022,,07-05-2022,0.85,Assist,0.2,,,7
Parrot,Sun Conure,B05,Red Belly,CKRB211,266,6590,15-04-2022,Fertile,22-04-2022,,8.78,08-05-2022,,,,,,,,9.56
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6591,15-04-2022,Fertile,22-04-2022,,7.12,03-05-2022,5.46,07-05-2022,0.62,Assist,0.2,,,7.76
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6592,15-04-2022,Fertile,22-04-2022,,7.97,28-04-2022,6.48,29-04-2022,0.79,Assist,0.3,,,8.64
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6593,15-04-2022,Fertile,22-04-2022,,8,02-05-2022,6.48,04-05-2022,1.03,Normal,0.2,,,8.74
Conure,Sun Conure,B41,Sun Conure,GB2914,GB3068,6594,15-04-2022,Infertile,,,,,,,,,,,,7.54
Parrot,Sun Conure,A43,Caique,CKR30,CKRB196,6595,15-04-2022,Fertile,22-04-2022,,,,,,,,,,,11.54
Lorikeet,Lory,F25,Olive Swainson Lorikeet,7L6689,CKRD579,6596,15-04-2022,Fertile,22-04-2022,,6.75,07-05-2022,,,,,,,,7.48
Lorikeet,Lory,F33,Olive Swainson Lorikeet,CKRD1576,7L6697,6597,15-04-2022,Infertile,,,,,,,,,,,,6.65
Lorikeet,Lory,D45,Swainson Lorikeet + Green Napped Lorikeet,CKRC197,YUV293,6598,15-04-2022,Infertile,,,,,,,,,,,,8.45
Lorikeet,Lory,E45,Scaly Breasted Lorikeet + Olive Scaly Breasted Lorikeet,TC6AQ238,AP8377,6599,15-04-2022,Infertile,,,,,,,,,,,,5.52
Lorikeet,Lory,D44,Red Collared Lorikeet,CKRC206,CKRC199,6600,15-04-2022,Infertile,,,,,,,,,,,,5.93
Lorikeet,Lory,D44,Red Collared Lorikeet,CKRC206,CKRC199,6601,15-04-2022,Infertile,,,,,,,,,,,,6
Lorikeet,Lory,E43,Red Collared Lorikeet,CKRC315,CKRC294,6602,15-04-2022,Fertile,22-04-2022,,,,,,,,,,,7.93
Lorikeet,Lory,D39,Olive Swainson Lorikeet + Swainson Lorikeet,CKR228,CKR378,6603,15-04-2022,Fertile,22-04-2022,,,,,,,,,,,8.22
Lorikeet,Lory,D33,Swainson Lorikeet,SA256,CKRB050,6604,15-04-2022,Fertile,22-04-2022,,7.76,06-05-2022,6.08,07-05-2022,0.71,Normal,0.2,,,8.54
Lorikeet,Lory,E29,Red Collared Lorikeet,CKRC204,CKRC208,6605,15-04-2022,Fertile,22-04-2022,,5.77,04-05-2022,4.56,06-05-2022,0.77,Normal,0.3,,,6.43
Lorikeet,Lory,E29,Red Collared Lorikeet,CKRC204,CKRC208,6606,15-04-2022,Infertile,,,,,,,,,,,,6.45
Lorikeet,Lory,D26,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC257,NORING,6607,15-04-2022,DIS,22-04-2022,,,,,,,,,Late,28-04-2022,6.46
Lorikeet,Lory,D26,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC257,NORING,6608,15-04-2022,Fertile,22-04-2022,,7.12,01-05-2022,5.61,02-05-2022,0.73,Assist,0.2,,,7.64
Lory,Lory,D25,redlory ,215,ABW5147,6609,15-04-2022,Fertile,22-04-2022,,7.04,07-05-2022,,,,,,,,7.92
Lorikeet,Lory,E25,Red Collared Lorikeet,YMSBRC773,YO5067,6610,15-04-2022,Fertile,22-04-2022,,7.7,02-05-2022,6.3,03-05-2022,0.96,Normal,0.2,,,8.38
Lorikeet,Lory,E25,Red Collared Lorikeet,YMSBRC773,YO5067,6611,15-04-2022,Fertile,22-04-2022,,6.98,06-05-2022,5.77,08-05-2022,0.7,Normal,0.3,,,7.9
Lory,Lory,E15,redlory ,ABW5141,5153,6612,15-04-2022,Fertile,22-04-2022,,6.85,02-05-2022,5.61,03-05-2022,0.67,Normal,0.2,,,7.89
Lory,Lory,E15,redlory ,ABW5141,5153,6613,15-04-2022,DIS,20-04-2022,,,,,,,,,Early,22-04-2022,8.43
Lory,Lory,D01,Yellow bibbed Lory,CKRC407,CKRC422,6614,15-04-2022,Infertile,,,,,,,,,,,,7.23
Lory,Lory,D25,redlory ,215,ABW5147,6615,15-04-2022,DIS,20-04-2022,,,,,,,,,Early,22-04-2022,7.86
Monk,Macaw,M12(NB-3),Monk-Blue,,,6617,16-04-2022,Infertile,,,,,,,,,,,,4.4
Monk,Macaw,M12(NB-3),Monk-Blue,,,6618,16-04-2022,Infertile,,,,,,,,,,,,5.19
Monk,Macaw,M12(NB-3),Monk-Blue,,,6619,16-04-2022,Infertile,,,,,,,,,,,,4.71
