Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Weight
Conure,Sun Conure  Aviary,B41,Sun Conure,GB 2914,Male,Proven,
Conure,Sun Conure  Aviary,B41,Sun Conure,GB 3068,Female,Proven,
Conure,Sun Conure  Aviary,B42,Sun Conure,CKR D 320,Male,Proven,
Conure,Sun Conure  Aviary,B42,Sun Conure,CKR D 1381,Female,Proven,
Conure,Sun Conure  Aviary,B43,Crimson Bellied conure,HAISHL 066,Female,Proven,
Conure,Sun Conure  Aviary,B43,Crimson Bellied conure,SIVA 529,Male,Proven,
Conure,Sun Conure  Aviary,B44,Red Fronted Conure,CKR 373,Male,Proven,
Conure,Sun Conure  Aviary,B44,Red Fronted Conure,JJC 005,Female,Proven,
Conure,Sun Conure  Aviary,B45,Sun Conure,GB 3196,Male,Proven,
Conure,Sun Conure  Aviary,B45,Sun Conure,GB 3208,Female,Proven,
Conure,Sun Conure  Aviary,B46,Nanday Conure,CKR 078,Male,Proven,
Conure,Sun Conure  Aviary,B46,Nanday Conure,CKR B 047,Female,Proven,
Conure,Sun Conure  Aviary,B47,Sun Conure,GB 2822,Female,Proven,
Conure,Sun Conure  Aviary,B47,Sun Conure,GB 2631,Male,Proven,
Conure,Sun Conure  Aviary,B48,Nanday Conure,CKR A 167,Female,Proven,
Conure,Sun Conure  Aviary,B48,Nanday Conure,CKR B 139&133,Male,Proven,
Conure,Sun Conure  Aviary,B49,Nansun Conure,CKR B 232,Male,Proven,
Conure,Sun Conure  Aviary,B49,Nansun Conure,CKR B 237,Female,Proven,
Pionus,Sun Conure  Aviary,B50,Bronze wing pionus,JK 01 2 (or) 7,Female,Proven,
Pionus,Sun Conure  Aviary,B50,Bronze wing pionus,LV 08 80 H 1,Male,Proven,
Conure,Sun Conure  Aviary,B51,Nanday Conure,CKR B 046,Male,Proven,
Conure,Sun Conure  Aviary,B51,Nanday Conure,CKR B 193,Female,Proven,
Conure,Sun Conure  Aviary,B52,Nanday Conure,CKR 374,Male,Proven,
Conure,Sun Conure  Aviary,B52,Nanday Conure,CKR A 169,Female,Proven,
Conure,Sun Conure  Aviary,B53,Sun Conure,GB 2736,Male,Proven,
Conure,Sun Conure  Aviary,B53,Sun Conure,GB 3050,Female,Proven,
Conure,Sun Conure  Aviary,B54,Sun Conure,CKR D 315,Female,Proven,
Conure,Sun Conure  Aviary,B54,Sun Conure,CKR D 1073,Male,Proven,
Conure,Sun Conure  Aviary,B55,Nansun Conure,CKR C 252,Male,Proven,
Conure,Sun Conure  Aviary,B55,Nansun Conure,CKR C 338,Female,Proven,
Conure,Sun Conure  Aviary,B56,Sun Conure,GB 2571,Female,Proven,
Conure,Sun Conure  Aviary,B56,Sun Conure,GB 2689,Male,Proven,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1604,Male,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1553,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1077,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRD 1261,Male,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1969,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRD 1252,Male,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1267,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1722,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1332,Male,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1329,Female,Semi Adult,
Conure,Macaw Aviary,C02,Sun @jandayconure,CKR E 2133,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2107,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2104,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2072,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2085,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2086,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2109,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2080,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2089,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2087,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1972,NA,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1326,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1611,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1612,,Semi Adult,
