Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight,,,,,,,
Conure,Sun Conure,B06,25-04-2022,Sun Conure,GB3059,CPC143,6641,,,,,,,,,,,,6.23,,,,,,,,
Conure,Sun Conure,B06,25-04-2022,Sun Conure,GB3059,CPC143,6642,,,,,,,,,,,,6.23,,,,,,,,
Conure,Sun Conure,B41,25-04-2022,Sun Conure,GB2914,GB3068,6643,,,,,,,,,,,,8.4,,,,,,,,
Conure,Sun Conure,B41,25-04-2022,Sun Conure,GB2914,GB3068,6644,,,,,,,,,,,,8.2,,,,,,,,
Lory,Lory,D07,25-04-2022,Black Capped Lory,MAR092,MAR050,6645,,,,,,,,,,,,8.77,,,,,,,,
Lory,Lory,D07,25-04-2022,Black Capped Lory,MAR092,MAR050,6646,,,,,,,,,,,,9.11,,,,,,,,
Lory,Lory,E13,25-04-2022,Red Lory ,08 July 1962,TER22824,6647,,,,,,,,,,,,8.83,,,,,,,,
Lory,Lory,E13,25-04-2022,Red Lory ,08 July 1962,TER22824,6648,,,,,,,,,,,,8.62,,,,,,,,
Lory,Lory,E19,25-04-2022,Black Capped & chattering Lory,Sunil692,JP514,6649,,,,,,,,,,,,10.96,,,,,,,,
Lory,Lory,D17,25-04-2022,Violet necked Lory,CHIRP027,JP371,6650,,,,,,,,,,,,6.77,,,,,,,,
Lorikeet,Lory,D36,25-04-2022,Green Napped Lorikeet,7NG2122,BH7318,6651,,,,,,,,,,,,6.18,,,,,,,,
Lory,Lory,E39,25-04-2022,Red Lory ,YUV40,PABW324,6652,,,,,,,,,,,,8.27,,,,,,,,
Lory,Lory,E39,25-04-2022,Red Lory ,YUV40,PABW324,6653,,,,,,,,,,,,8.24,,,,,,,,
Lorikeet,Lory,E40,25-04-2022,Swainson Lorikeet,CKRC309,CKRC411,6654,,,,,,,,,,,,7,,,,,,,,
Lory,Lory,D40,25-04-2022,Red Lory ,ABW3899,ABW5146,6655,,,,,,,,,,,,8.62,,,,,,,,
Lory,Lory,D40,25-04-2022,Red Lory ,ABW3899,ABW5146,6656,,,,,,,,,,,,9.47,,,,,,,,
Lorikeet,Lory,F45,25-04-2022,Olive Swainson Lorikeet,7L6678,T0660192,6657,,,,,,,,,,,,7.09,,,,,,,,
Lorikeet,Lory,F37,25-04-2022,Olive Swainson Lorikeet,CKRD1421,7000,6658,,,,,,,,,,,,6.34,,,,,,,,
Lorikeet,Lory,F31,25-04-2022,Red Collared Lorikeet,CKRE1853,CKR1941,6659,,,,,,,,,,,,6.96,,,,,,,,
Lorikeet,Lory,F30,25-04-2022,Swainson Lorikeet,CKRC248,ACEIND148,6660,,,,,,,,,,,,8.38,,,,,,,,
Lorikeet,Lory,F25,25-04-2022,Olive Swainson Lorikeet,7L6689,CKRD579,6661,,,,,,,,,,,,7.07,,,,,,,,
Lorikeet,Lory,E22,25-04-2022,Swainson Lorikeet,CKRB141,CKRB092,6662,,,,,,,,,,,,7.1,,,,,,,,
Conure,Sun Conure,B06,28 April 2022,Sun Conure,GB3059,CPC143,6663,,,,,,,,,,,,6.78,,,,,,,,
Conure,Sun Conure,A52,28 April 2022,Sun Conure,GB2773,GB2602,6664,,,,,,,,,,,,6.04,,,,,,,,
Conure,Sun Conure,A52,28 April 2022,Sun Conure,GB2773,GB2602,6665,,,,,,,,,,,,7.64,,,,,,,,
Lorikeet,Lory,E04,28 April 2022,Swainson Lorikeet,CKRC365,CKRC241,6666,,,,,,,,,,,,7.97,,,,,,,,
Lorikeet,Lory,E34,28 April 2022,Swainson Lorikeet,CKR221,CKR361,6667,,,,,,,,,,,,6.72,,,,,,,,
Lorikeet,Lory,F39,28 April 2022,Olive Swainson Lorikeet + Swainson Lorikeet,75KZ6213,CKRC297,6668,,,,,,,,,,,,7.73,,,,,,,,
Lorikeet,Lory,F37,28 April 2022,Olive Swainson Lorikeet,CKRD1421,7000,6669,,,,,,,,,,,,6.46,,,,,,,,
Lorikeet,Lory,F31,28 April 2022,Red Collared Lorikeet,CKRE1853,CKR1941,6670,,,,,,,,,,,,7.19,,,,,,,,
